gene_id,gene_name
ENSG00000160953.16,PWWP3A
ENSG00000161010.15,MRNIP
ENSG00000161057.13,PSMC2
ENSG00000161180.11,CCDC116
ENSG00000161265.15,U2AF1L4
ENSG00000161281.11,COX7A1
ENSG00000161544.10,CYGB
ENSG00000161551.14,ZNF577
ENSG00000161649.13,CD300LG
ENSG00000161800.13,RACGAP1
ENSG00000161835.11,TAMALIN
ENSG00000161888.11,SPC24
ENSG00000161911.11,TREML1
ENSG00000161940.11,BCL6B
ENSG00000162063.13,CCNF
ENSG00000162148.11,PPP1R32
ENSG00000162241.12,SLC25A45
ENSG00000162267.12,ITIH3
ENSG00000162367.11,TAL1
ENSG00000162373.13,BEND5
ENSG00000162377.6,COA7
ENSG00000162383.13,SLC1A7
ENSG00000162461.8,SLC25A34
ENSG00000162572.21,SCNN1D
ENSG00000162591.16,MEGF6
ENSG00000162595.7,DIRAS3
ENSG00000162706.13,CADM3
ENSG00000162998.5,FRZB
ENSG00000163040.15,CCDC74A
ENSG00000163072.16,NOSTRIN
ENSG00000163093.12,BBS5
ENSG00000163106.11,HPGDS
ENSG00000163141.20,BNIPL
ENSG00000163145.13,C1QTNF7
ENSG00000163239.12,TDRD10
ENSG00000163354.15,DCST2
ENSG00000163394.6,CCKAR
ENSG00000163395.17,IGFN1
ENSG00000163431.13,LMOD1
ENSG00000163507.14,CIP2A
ENSG00000163535.18,SGO2
ENSG00000163655.16,GMPS
ENSG00000163687.14,DNASE1L3
ENSG00000163751.4,CPA3
ENSG00000163794.6,UCN
